Rank,Time,Name,Code,Date of Birth,Place,City,Date,Gender,Event
275,01:43.6,Arthémon Hatungimana,BDI,21/01/1974,2,Zürich,13/08/1997,Men,800 m
275,01:43.6,Mohammed Aman,ETH,10/01/1994,1,Stockholm,17/08/2012,Men,800 m
275,01:43.6,Nick Symmonds,USA,30/12/1983,1,Zürich,29/08/2013,Men,800 m
275,01:43.6,Mohammed Aman,ETH,10/01/1994,1,Roma,06/04/2015,Men,800 m
275,01:43.6,Robert Biwott,KEN,28/01/1996,2,Barcelona,07/08/2015,Men,800 m
283,01:43.6,Mike Boit,KEN,06/01/1949,1,Berlin,20/08/1976,Men,800 m
283,01:43.6,Mahjoub Haïda,MAR,01/07/1970,3,Zürich,16/08/1995,Men,800 m
283,01:43.6,Joseph Tengelei,KEN,08/12/1970,4,Zürich,16/08/1995,Men,800 m
283,01:43.6,Patrick Ndururi,KEN,12/01/1969,4,Köln,24/08/1997,Men,800 m
283,01:43.6,Hezekiél Sepeng,RSA,30/06/1974,3,Monaco,20/07/2001,Men,800 m
283,01:43.6,David Rudisha,KEN,17/12/1988,2,Milano,18/09/2011,Men,800 m
289,01:43.6,André Bucher,SUI,19/10/1976,1,Lausanne,07/04/2001,Men,800 m
289,01:43.6,Yuriy Borzakovskiy,RUS,12/04/1981,2,Monaco,28/07/2009,Men,800 m
289,01:43.6,Mbulaeni Mulaudzi,RSA,08/09/1980,2,Lausanne,07/08/2010,Men,800 m
289,01:43.6,Mohammed Aman,ETH,10/01/1994,1,Rabat,27/05/2012,Men,800 m
289,01:43.6,David Rudisha,KEN,17/12/1988,1,New York City,13/06/2015,Men,800 m
289,01:43.6,Pierre-Ambroise Bosse,FRA,11/05/1992,6,Saint-Denis,27/08/2016,Men,800 m
295,01:43.6,Johnny Gray,USA,19/06/1960,1,Rieti,09/02/1984,Men,800 m
295,01:43.6,Wilson Kipketer,DEN,12/12/1970,2,Zürich,16/08/2002,Men,800 m
295,01:43.6,Wilfred Bungei,KEN,24/07/1980,2,Athínai,07/03/2006,Men,800 m
295,01:43.6,Bram Som,NED,20/02/1980,4,Rieti,09/06/2009,Men,800 m
299,01:43.6,Paul Ereng,KEN,22/08/1967,1,London,14/07/1989,Men,800 m
299,01:43.6,Abdi Bile,SOM,28/12/1962,3,Zürich,16/08/1989,Men,800 m
299,01:43.6,David Kiptoo Singoei,KEN,26/06/1965,4,Zürich,08/12/1998,Men,800 m
299,01:43.6,Leonard Kosencha,KEN,21/08/1994,2,Rabat,27/05/2012,Men,800 m
299,01:43.6,Ferguson Cheruiyot,KEN,30/11/1989,1,Nairobi,08/01/2015,Men,800 m
299,01:43.6,Clayton Murphy,USA,26/02/1995,1,Torrance,15/04/2017,Men,800 m
305,01:43.6,Steve Cram,GBR,14/10/1960,1,Oslo,23/08/1983,Men,800 m
305,01:43.6,Japheth Kimutai,KEN,20/12/1978,3,Roma,14/07/1998,Men,800 m
305,01:43.6,Youssef Saad Kamel,BRN,29/03/1983,4,Rieti,27/08/2006,Men,800 m
305,01:43.6,Mbulaeni Mulaudzi,RSA,08/09/1980,2,Jerez de la Frontera,24/06/2008,Men,800 m
305,01:43.6,Mohammed Aman,ETH,10/01/1994,1,Roma,06/06/2013,Men,800 m
310,01:43.6,Steve Cram,GBR,14/10/1960,1,Nice,15/07/1986,Men,800 m
310,01:43.6,Earl Jones,USA,17/07/1964,2,Zürich,13/08/1986,Men,800 m
310,01:43.6,William Tanui,KEN,22/02/1964,1,Lausanne,07/08/1992,Men,800 m
310,01:43.6,Wilfred Bungei,KEN,24/07/1980,1,Sevilla,06/07/2003,Men,800 m
310,01:43.6,Abraham Rotich,KEN,26/06/1993,1,Naimette-Xhovémont,07/05/2012,Men,800 m
310,01:43.6,Mohammed Aman,ETH,10/01/1994,1,Berlin,09/02/2012,Men,800 m
316,01:43.6,Agberto Conceiço Guimarães,BRA,18/08/1957,3,Koblenz,29/08/1984,Men,800 m
316,01:43.6,Joseph Mutua Mwengi,KEN,10/12/1978,4,Monaco,20/07/2001,Men,800 m
316,01:43.6,Ayanleh Souleiman,DJI,03/12/1992,1,Sollentuna,27/06/2013,Men,800 m
316,01:43.6,Nijel Amos,BOT,15/03/1994,1,Eugene,31/05/2014,Men,800 m
320,01:43.6,Alberto Juantorena,CUB,03/12/1950,1,Zürich,24/08/1977,Men,800 m
320,01:43.6,Sebastian Coe,GBR,29/09/1956,2,Los Angeles,08/06/1984,Men,800 m
320,01:43.6,Wilson Kipketer,KEN,12/12/1970,1,Göteborg,24/08/1994,Men,800 m
320,01:43.6,Japheth Kimutai,KEN,20/12/1978,3,Zürich,13/08/1997,Men,800 m
320,01:43.6,Wilfred Bungei,KEN,24/07/1980,1,Zürich,16/08/2002,Men,800 m
320,01:43.6,Mbulaeni Mulaudzi,RSA,08/09/1980,1,Madrid,07/05/2008,Men,800 m
326,01:43.7,Willi Wülbeck,FRG,18/12/1954,1,Helsinki,08/09/1983,Men,800 m
326,01:43.7,Laban Rotich,KEN,20/01/1969,4,Stuttgart,19/07/1998,Men,800 m
326,01:43.7,Timothy Kitum,KEN,20/11/1994,1,Heusden-Zolder,19/07/2014,Men,800 m
329,01:43.7,Alberto Juantorena,CUB,03/12/1950,1,Bydgoszcz,19/06/1977,Men,800 m
329,01:43.7,William Tanui,KEN,22/02/1964,1,Barcelona,08/05/1992,Men,800 m
329,01:43.7,Robert Kibet,KEN,15/12/1965,4,Rieti,09/01/1996,Men,800 m
329,01:43.7,Hezekiél Sepeng,RSA,30/06/1974,2,Zürich,08/11/1999,Men,800 m
329,01:43.7,Mohammed Al-Salhi,KSA,11/05/1986,3,Ad-Dawhah,05/08/2009,Men,800 m
329,01:43.7,Alfred Kirwa Yego,KEN,28/11/1986,2,Zürich,28/08/2009,Men,800 m
335,01:43.7,Mark Everett,USA,02/09/1968,2,New Orleans,24/06/1992,Men,800 m
335,01:43.7,Vebjørn Rodal,NOR,16/09/1972,1,Köln,16/08/1996,Men,800 m
335,01:43.7,Sammy Kibet Langat,KEN,24/01/1970,5,Rieti,09/01/1996,Men,800 m
335,01:43.7,Dmitrijs Milkevics,LAT,06/12/1981,3,Athínai,07/03/2006,Men,800 m
335,01:43.7,Wilfred Bungei,KEN,24/07/1980,3,Zürich,18/08/2006,Men,800 m
335,01:43.7,Nick Symmonds,USA,30/12/1983,1,London,26/07/2013,Men,800 m
341,01:43.7,Wilson Kipketer,KEN,12/12/1970,1,Monaco,08/02/1994,Men,800 m
341,01:43.7,Yuriy Borzakovskiy,RUS,12/04/1981,6,Bruxelles,09/05/2003,Men,800 m
341,01:43.7,Amine Laâlou,MAR,13/05/1982,2,Zürich,08/06/2004,Men,800 m
341,01:43.7,Khadevis Robinson,USA,19/07/1976,5,Rieti,27/08/2006,Men,800 m
341,01:43.7,Gary Reed,CAN,25/10/1981,4,Monaco,29/07/2008,Men,800 m
341,01:43.7,Abubaker Kaki Khamis,SUD,21/06/1989,1,Eugene,06/04/2011,Men,800 m
347,01:43.7,Atle Douglas,NOR,09/06/1968,1,Rieti,09/05/1995,Men,800 m
347,01:43.7,William Yiampoy,KEN,17/05/1974,2,Zürich,16/08/2002,Men,800 m
347,01:43.7,Wilfred Bungei,KEN,24/07/1980,1,Madrid,17/07/2006,Men,800 m
347,01:43.7,Abubaker Kaki Khamis,SUD,21/06/1989,1,Sollentuna,07/05/2012,Men,800 m
347,01:43.7,Ayanleh Souleiman,DJI,03/12/1992,1,Huddinge,25/07/2014,Men,800 m
352,01:43.7,Marcello Fiasconaro,ITA,19/07/1949,1,Milano,27/06/1973,Men,800 m
352,01:43.7,Johnny Gray,USA,19/06/1960,1,Burnaby,06/05/1988,Men,800 m
352,01:43.7,Robert Kibet,KEN,15/12/1965,2,Oslo,07/01/1989,Men,800 m
352,01:43.7,Nixon Kiprotich,KEN,04/12/1962,2,Barcelona,08/05/1992,Men,800 m
352,01:43.7,Rich Kenah,USA,04/08/1970,5,Köln,24/08/1997,Men,800 m
352,01:43.7,André Bucher,SUI,19/10/1976,1,Edmonton,08/07/2001,Men,800 m
352,01:43.7,Wilfred Bungei,KEN,24/07/1980,1,Rieti,28/08/2005,Men,800 m
352,01:43.7,Nick Symmonds,USA,30/12/1983,2,Des Moines,23/06/2013,Men,800 m
352,01:43.7,Nijel Amos,BOT,15/03/1994,2,Saint-Denis,07/05/2014,Men,800 m
361,01:43.7,Hezekiél Sepeng,RSA,30/06/1974,2,Köln,16/08/1996,Men,800 m
361,01:43.7,Arthémon Hatungimana,BDI,21/01/1974,3,Bruxelles,22/08/1997,Men,800 m
361,01:43.7,Japheth Kimutai,KEN,20/12/1978,1,Nairobi,26/07/2003,Men,800 m
361,01:43.7,Amine Laâlou,MAR,13/05/1982,3,Ad-Dawhah,14/05/2010,Men,800 m
361,01:43.7,Abubaker Kaki Khamis,SUD,21/06/1989,1,Eugene,06/02/2012,Men,800 m
361,01:43.7,Taoufik Makhloufi,ALG,29/04/1988,2,Stockholm,17/08/2012,Men,800 m
361,01:43.7,Yeimer López,CUB,20/08/1982,3,Saint-Denis,07/05/2014,Men,800 m
368,01:43.7,Billy Konchellah,KEN,20/10/1961,4,Koblenz,28/08/1985,Men,800 m
368,01:43.7,Paul Ereng,KEN,22/08/1967,1,Bruxelles,25/08/1989,Men,800 m
368,01:43.7,Johnny Gray,USA,19/06/1960,2,Sevilla,30/05/1990,Men,800 m
368,01:43.7,André Bucher,SUI,19/10/1976,1,Zürich,08/11/2000,Men,800 m
368,01:43.7,Wilfred Bungei,KEN,24/07/1980,1,Madrid,17/07/2004,Men,800 m
368,01:43.7,David Rudisha,KEN,17/12/1988,2,Oslo,06/06/2008,Men,800 m
368,01:43.7,Abraham Chepkirwok,UGA,18/11/1988,2,Madrid,07/05/2008,Men,800 m
368,01:43.7,Jackson Kivuva,KEN,11/08/1989,4,Monaco,22/07/2010,Men,800 m
368,01:43.7,Duane Solomon,USA,28/12/1984,1,Monaco,19/07/2013,Men,800 m
368,01:43.7,Marcin Lewandowski,POL,13/06/1987,6,Monaco,17/07/2015,Men,800 m
378,01:43.7,Nixon Kiprotich,KEN,04/12/1962,2,Bruxelles,25/08/1989,Men,800 m
378,01:43.7,Johnny Gray,USA,19/06/1960,1,Roma,06/08/1994,Men,800 m
378,01:43.7,Alfred Kipketer,KEN,26/12/1996,1,Eldoret,07/01/2016,Men,800 m
378,01:43.7,Marcin Lewandowski,POL,13/06/1987,7,Saint-Denis,27/08/2016,Men,800 m
378,01:43.7,Emmanuel Korir,KEN,15/06/1995,1,Berkeley,28/04/2017,Men,800 m
383,01:43.7,Earl Jones,USA,17/07/1964,1,Los Angeles,19/06/1984,Men,800 m
383,01:43.7,Johnny Gray,USA,19/06/1960,2,Los Angeles,19/06/1984,Men,800 m
383,01:43.7,Frederick Onyancha,KEN,25/12/1969,3,Zürich,14/08/1996,Men,800 m
383,01:43.7,Wilson Kipketer,DEN,12/12/1970,1,Monaco,08/08/1998,Men,800 m
383,01:43.7,Andrea Longo,ITA,26/06/1975,1,Rieti,09/03/2000,Men,800 m
383,01:43.7,Mbulaeni Mulaudzi,RSA,08/09/1980,1,Monaco,25/07/2007,Men,800 m
383,01:43.7,Mohammed Aman,ETH,10/01/1994,2,Eugene,06/02/2012,Men,800 m
383,01:43.7,Kevin López,ESP,12/06/1990,4,Monaco,20/07/2012,Men,800 m
383,01:43.7,Taoufik Makhloufi,ALG,29/04/1988,1,Rieti,09/09/2012,Men,800 m
392,01:43.8,José Luis Barbosa,BRA,27/05/1961,1,Zürich,08/07/1991,Men,800 m
392,01:43.8,Patrick Konchellah,KEN,20/04/1968,2,Stockholm,07/07/1997,Men,800 m
392,01:43.8,Youssef Saad Kamel,BRN,29/03/1983,4,Athínai,07/03/2006,Men,800 m
395,01:43.8,José Luis Barbosa,BRA,27/05/1961,3,Roma,09/01/1987,Men,800 m
395,01:43.8,Benyounès Lahlou,MAR,03/11/1964,2,Nice,07/10/1996,Men,800 m
395,01:43.8,Yuriy Borzakovskiy,RUS,12/04/1981,2,Saint-Denis,07/06/2001,Men,800 m
395,01:43.8,Wilson Kipketer,DEN,12/12/1970,1,Monaco,19/07/2002,Men,800 m
395,01:43.8,Amine Laâlou,MAR,13/05/1982,1,Zhukovskiy,26/06/2010,Men,800 m
395,01:43.8,Nick Symmonds,USA,30/12/1983,3,Rieti,29/08/2010,Men,800 m
395,01:43.8,David Rudisha,KEN,17/12/1988,1,Nairobi,16/07/2011,Men,800 m
395,01:43.8,Job Kinyor,KEN,02/09/1990,2,Ad-Dawhah,05/11/2012,Men,800 m
395,01:43.8,Pierre-Ambroise Bosse,FRA,11/05/1992,2,Monaco,19/07/2013,Men,800 m
395,01:43.8,Ayanleh Souleiman,DJI,03/12/1992,3,Moskva,13/08/2013,Men,800 m
395,01:43.8,David Rudisha,KEN,17/12/1988,2,Lausanne,07/09/2015,Men,800 m
395,01:43.8,Adam Kszczot,POL,02/09/1989,8,Saint-Denis,27/08/2016,Men,800 m
395,01:43.8,Kipyegon Bett,KEN,02/01/1998,2,Berlin,09/03/2016,Men,800 m
408,01:43.8,Abraham Kiplagat,KEN,09/08/1984,5,Monaco,22/07/2010,Men,800 m
408,01:43.8,Andrew Osagie,GBR,19/02/1988,8,London,08/09/2012,Men,800 m
408,01:43.8,Nijel Amos,BOT,15/03/1994,1,Zürich,28/08/2014,Men,800 m
411,01:43.8,Sammy Koskei,KEN,14/05/1961,5,Köln,25/08/1985,Men,800 m
411,01:43.8,Agberto Conceiço Guimarães,BRA,18/08/1957,5,Köln,25/08/1985,Men,800 m
411,01:43.8,Paul Ereng,KEN,22/08/1967,1,Barcelona,16/07/1990,Men,800 m
411,01:43.8,Jean-Patrick Nduwimana,BDI,09/05/1978,3,Saint-Denis,07/06/2001,Men,800 m
411,01:43.8,Mbulaeni Mulaudzi,RSA,08/09/1980,4,Ad-Dawhah,14/05/2010,Men,800 m
411,01:43.8,Nick Symmonds,USA,30/12/1983,5,Monaco,20/07/2012,Men,800 m
411,01:43.8,Mohammed Aman,ETH,10/01/1994,1,Ostrava,27/06/2013,Men,800 m
411,01:43.8,Ayanleh Souleiman,DJI,03/12/1992,1,Ad-Dawhah,15/05/2015,Men,800 m
419,01:43.8,Mike Boit,KEN,06/01/1949,1,Zürich,20/08/1975,Men,800 m
419,01:43.8,Norberto Téllez,CUB,22/01/1972,1,Atlanta,29/07/1996,Men,800 m
419,01:43.8,Djabir Said-Guerni,ALG,29/03/1977,1,Monaco,18/08/2000,Men,800 m
419,01:43.8,Nijel Amos,BOT,15/03/1994,1,Barcelona,15/07/2012,Men,800 m
419,01:43.8,Marcin Lewandowski,POL,13/06/1987,2,Zürich,29/08/2013,Men,800 m
424,01:43.8,Sebastian Coe,GBR,29/09/1956,1,Oslo,28/06/1983,Men,800 m
424,01:43.8,Sammy Koskei,KEN,14/05/1961,5,Koblenz,28/08/1985,Men,800 m
424,01:43.8,Philip Kibitok,KEN,23/03/1971,1,Nairobi,29/06/1996,Men,800 m
424,01:43.8,Patrick Konchellah,KEN,20/04/1968,4,Zürich,13/08/1997,Men,800 m
424,01:43.8,Patrick Ndururi,KEN,12/01/1969,2,Monaco,08/08/1998,Men,800 m
424,01:43.8,Abubaker Kaki Khamis,SUD,21/06/1989,1,Ostrava,06/12/2008,Men,800 m
424,01:43.8,Nijel Amos,BOT,15/03/1994,2,Roma,06/04/2015,Men,800 m
431,01:43.8,Mbulaeni Mulaudzi,RSA,08/09/1980,3,Zürich,16/08/2002,Men,800 m
431,01:43.8,Joseph Mutua Mwengi,KEN,10/12/1978,3,Bruxelles,30/08/2002,Men,800 m
431,01:43.8,Edwin Kiplagat Melly,KEN,23/04/1994,2,Rieti,09/09/2012,Men,800 m
434,01:43.8,Joaquim Cruz,BRA,12/03/1963,1,Los Angeles,08/05/1984,Men,800 m
434,01:43.8,Patrick Ndururi,KEN,12/01/1969,1,Hechtel,08/01/1998,Men,800 m
434,01:43.8,Japheth Kimutai,KEN,20/12/1978,1,Kuala Lumpur,19/09/1998,Men,800 m
434,01:43.8,André Bucher,SUI,19/10/1976,1,Berlin,31/08/2001,Men,800 m
434,01:43.8,Ismail Ahmed Ismail,SUD,10/09/1984,2,Athínai,13/07/2009,Men,800 m
434,01:43.8,Abdulrahman Musaeb Bala,QAT,19/03/1989,3,Barcelona,07/08/2015,Men,800 m
440,01:43.8,Earl Jones,USA,17/07/1964,3,Los Angeles,08/06/1984,Men,800 m
440,01:43.8,António Manuel Reina,ESP,13/06/1981,1,Madrid,21/09/2002,Men,800 m
440,01:43.8,Nick Symmonds,USA,30/12/1983,3,Monaco,28/07/2009,Men,800 m
440,01:43.8,Nick Symmonds,USA,30/12/1983,3,Monaco,22/07/2011,Men,800 m
440,01:43.8,Adam Kszczot,POL,02/09/1989,1,Hengelo,27/05/2012,Men,800 m
440,01:43.8,Marcin Lewandowski,POL,13/06/1987,4,Bruxelles,09/06/2013,Men,800 m
440,01:43.8,Taoufik Makhloufi,ALG,29/04/1988,1,Rieti,09/07/2014,Men,800 m
447,01:43.8,Olaf Beyer,GDR,04/08/1957,1,Praha,31/08/1978,Men,800 m
447,01:43.8,Sebastian Coe,GBR,29/09/1956,1,Oslo,28/06/1984,Men,800 m
447,01:43.8,Johnny Gray,USA,19/06/1960,2,Berlin,23/08/1985,Men,800 m
447,01:43.8,Johnny Gray,USA,19/06/1960,1,Stockholm,07/01/1986,Men,800 m
447,01:43.8,Johnny Gray,USA,19/06/1960,1,Malmö,08/05/1991,Men,800 m
447,01:43.8,Martin Steele,GBR,20/09/1962,1,Oslo,07/10/1993,Men,800 m
447,01:43.8,Sammy Kibet Langat,KEN,24/01/1970,1,Lappeenranta,16/07/1995,Men,800 m
447,01:43.8,William Chirchir,KEN,06/02/1979,3,Lausanne,07/05/2000,Men,800 m
447,01:43.8,Amine Laâlou,MAR,13/05/1982,6,Rieti,27/08/2006,Men,800 m
447,01:43.8,Alan Webb,USA,13/01/1983,1,Heusden-Zolder,28/07/2007,Men,800 m
447,01:43.8,Marcin Lewandowski,POL,13/06/1987,4,Monaco,28/07/2009,Men,800 m
447,01:43.8,Abubaker Kaki Khamis,SUD,21/06/1989,2,Bruxelles,27/08/2010,Men,800 m
447,01:43.8,Brandon Johnson,USA,06/03/1985,1,Madrid,13/07/2013,Men,800 m
447,01:43.8,Boris Berian,USA,19/12/1992,2,New York City,13/06/2015,Men,800 m
447,01:43.8,Amel Tuka,BIH,09/01/1991,1,Madrid,07/11/2015,Men,800 m
462,01:43.9,David Kiptoo Singoei,KEN,26/06/1965,4,Monaco,08/04/1999,Men,800 m
462,01:43.9,Joseph Mutua Mwengi,KEN,10/12/1978,3,Zürich,08/06/2004,Men,800 m
462,01:43.9,Nicholas Kipkoech,KEN,22/10/1992,1,Montreuil-sous-Bois,06/07/2016,Men,800 m
462,01:43.9,Pierre-Ambroise Bosse,FRA,11/05/1992,1,Rio de Janeiro,13/08/2016,Men,800 m
462,01:43.9,Taoufik Makhloufi,ALG,29/04/1988,2,Rio de Janeiro,13/08/2016,Men,800 m
467,01:43.9,Ivo van Damme,BEL,21/02/1954,2,Montréal,25/07/1976,Men,800 m
467,01:43.9,Saïd Aouita,MAR,02/11/1959,1,Köln,21/08/1988,Men,800 m
467,01:43.9,Arthémon Hatungimana,BDI,21/01/1974,6,Köln,24/08/1997,Men,800 m
467,01:43.9,Andrea Longo,ITA,26/06/1975,5,Zürich,08/12/1998,Men,800 m
467,01:43.9,Khadevis Robinson,USA,19/07/1976,2,Roma,14/07/2006,Men,800 m
467,01:43.9,Abdulaziz Ladan Mohammed,KSA,07/01/1991,1,Palembang,26/09/2013,Men,800 m
473,01:43.9,Agberto Conceiço Guimarães,BRA,18/08/1957,6,Koblenz,28/08/1985,Men,800 m
473,01:43.9,José Luis Barbosa,BRA,27/05/1961,1,Vigo,23/07/1991,Men,800 m
473,01:43.9,Arthémon Hatungimana,BDI,21/01/1974,6,Rieti,09/01/1996,Men,800 m
473,01:43.9,Japheth Kimutai,KEN,20/12/1978,2,Zürich,08/11/2000,Men,800 m
473,01:43.9,Youssef Saad Kamel,BRN,29/03/1983,2,Monaco,25/07/2007,Men,800 m
473,01:43.9,David Rudisha,KEN,17/12/1988,1,Ad-Dawhah,05/10/2013,Men,800 m
473,01:43.9,Duane Solomon,USA,28/12/1984,1,Moskva,08/11/2013,Men,800 m
480,01:43.9,Donato Sabia,ITA,11/09/1963,1,Firenze,13/06/1984,Men,800 m
480,01:43.9,Tom McKean,GBR,27/10/1963,1,London,28/07/1989,Men,800 m
480,01:43.9,Wilson Kipketer,DEN,12/12/1970,1,Roma,07/02/2004,Men,800 m
480,01:43.9,David Rudisha,KEN,17/12/1988,1,Melbourne,03/03/2011,Men,800 m
480,01:43.9,Taoufik Makhloufi,ALG,29/04/1988,1,Porto-Novo,29/06/2012,Men,800 m
480,01:43.9,Duane Solomon,USA,28/12/1984,1,Walnut,19/04/2014,Men,800 m
480,01:43.9,Pierre-Ambroise Bosse,FRA,11/05/1992,3,New York City,13/06/2015,Men,800 m
480,01:43.9,Pierre-Ambroise Bosse,FRA,11/05/1992,1,London,22/07/2016,Men,800 m
480,01:43.9,David Rudisha,KEN,17/12/1988,1,Rio de Janeiro,13/08/2016,Men,800 m
489,01:43.9,José Luis Barbosa,BRA,27/05/1961,1,Hengelo,19/07/1987,Men,800 m
489,01:43.9,Johnny Gray,USA,19/06/1960,3,Oslo,22/07/1994,Men,800 m
489,01:43.9,Philip Kibitok,KEN,23/03/1971,5,Zürich,16/08/1995,Men,800 m
489,01:43.9,Hezekiél Sepeng,RSA,30/06/1974,2,Lausanne,07/04/2001,Men,800 m
489,01:43.9,António Manuel Reina,ESP,13/06/1981,3,Zürich,08/06/2004,Men,800 m
489,01:43.9,Wilson Kipketer,DEN,12/12/1970,4,Zürich,08/06/2004,Men,800 m
489,01:43.9,Wilson Kipketer,DEN,12/12/1970,3,Rieti,09/05/2004,Men,800 m
489,01:43.9,Alfred Kirwa Yego,KEN,28/11/1986,7,Rieti,27/08/2006,Men,800 m
489,01:43.9,Michael Rimmer,GBR,03/02/1986,4,Rieti,29/08/2010,Men,800 m
489,01:43.9,David Rudisha,KEN,17/12/1988,2,Nairobi,08/01/2015,Men,800 m
489,01:43.9,Jonathan Kitilit,KEN,24/04/1994,2,Montreuil-sous-Bois,06/07/2016,Men,800 m
500,01:43.9,Rick Wohlhuter,USA,23/12/1948,1,Westwood,22/06/1974,Men,800 m
500,01:43.9,José Marajo,FRA,10/08/1954,1,Saint-Maur,09/12/1979,Men,800 m
500,01:43.9,Jeremiah Mutai,KEN,27/12/1992,1,Nairobi,25/05/2013,Men,800 m
500,01:43.9,Mike Boit,KEN,06/01/1949,1,Zürich,18/08/1976,Men,800 m
500,01:43.9,Joaquim Cruz,BRA,12/03/1963,2,Seoul,26/09/1988,Men,800 m
500,01:43.9,Einars Tupuritis,LAT,09/12/1973,2,Durham,13/07/1996,Men,800 m
500,01:43.9,David Kiptoo Singoei,KEN,26/06/1965,2,Atlanta,29/07/1996,Men,800 m
500,01:43.9,Abubaker Kaki Khamis,SUD,21/06/1989,1,Al Qâhirah,22/11/2007,Men,800 m
508,01:43.9,John Kipkurgat,KEN,16/03/1944,1,Christchurch,29/01/1974,Men,800 m
508,01:43.9,Rick Wohlhuter,USA,23/12/1948,1,Stockholm,18/07/1974,Men,800 m
508,01:43.9,Agberto Conceiço Guimarães,BRA,18/08/1957,4,Köln,26/08/1984,Men,800 m
508,01:43.9,Robert Kibet,KEN,15/12/1965,1,Zürich,16/08/1989,Men,800 m
508,01:43.9,Nico Motchebon,GER,13/11/1969,5,Atlanta,31/07/1996,Men,800 m
508,01:43.9,Johan Botha,RSA,10/01/1974,2,Oslo,30/06/1999,Men,800 m
508,01:43.9,Jean-Patrick Nduwimana,BDI,09/05/1978,5,Monaco,20/07/2001,Men,800 m
508,01:43.9,Alfred Kirwa Yego,KEN,28/11/1986,1,Lausanne,07/11/2006,Men,800 m
508,01:43.9,Amine Laâlou,MAR,13/05/1982,4,Zürich,18/08/2006,Men,800 m
508,01:43.9,David Rudisha,KEN,17/12/1988,1,Daegu,30/08/2011,Men,800 m
508,01:43.9,Pierre-Ambroise Bosse,FRA,11/05/1992,2,Roma,06/06/2013,Men,800 m
508,01:43.9,Nicholas Kipkoech,KEN,22/10/1992,1,Nairobi,28/05/2016,Men,800 m
520,01:43.9,John Marshall,USA,05/11/1963,3,Los Angeles,19/06/1984,Men,800 m
520,01:43.9,James Robinson,USA,27/08/1954,4,Los Angeles,19/06/1984,Men,800 m
520,01:43.9,Andrea Benvenuti,ITA,13/12/1969,1,Monaco,08/11/1992,Men,800 m
520,01:43.9,Paul Ruto,KEN,03/11/1960,2,Rieti,09/05/1993,Men,800 m
520,01:43.9,Frederick Onyancha,KEN,25/12/1969,3,Köln,16/08/1996,Men,800 m
520,01:43.9,Djabir Said-Guerni,ALG,29/03/1977,3,Zürich,08/11/2000,Men,800 m
520,01:43.9,David Krummenacker,USA,24/05/1975,4,Bruxelles,30/08/2002,Men,800 m
520,01:43.9,Yuriy Borzakovskiy,RUS,12/04/1981,1,Iráklio,07/04/2004,Men,800 m
520,01:43.9,Nick Symmonds,USA,30/12/1983,1,Eugene,25/06/2012,Men,800 m
520,01:43.9,Job Kinyor,KEN,02/09/1990,3,Roma,06/04/2015,Men,800 m
520,01:43.9,Ferguson Cheruiyot,KEN,30/11/1989,7,Monaco,17/07/2015,Men,800 m
520,01:43.9,Taoufik Makhloufi,ALG,29/04/1988,1,Saint-Maur-dos-Fosses,07/06/2016,Men,800 m
532,01:43.9,William Wuyke,VEN,21/05/1958,2,Rieti,09/02/1984,Men,800 m
532,01:43.9,Sebastian Coe,GBR,29/09/1956,2,Koblenz,28/08/1988,Men,800 m
532,01:43.9,Mark Everett,USA,02/09/1968,1,Sheffield,15/09/1991,Men,800 m
532,01:43.9,David Kiptoo Singoei,KEN,26/06/1965,3,Nice,07/10/1996,Men,800 m
532,01:43.9,Johnny Gray,USA,19/06/1960,3,Durham,13/07/1996,Men,800 m
532,01:43.9,Andrea Longo,ITA,26/06/1975,5,Monaco,08/04/1999,Men,800 m
532,01:43.9,Japheth Kimutai,KEN,20/12/1978,2,Monaco,18/08/2000,Men,800 m
532,01:43.9,André Bucher,SUI,19/10/1976,5,Bruxelles,30/08/2002,Men,800 m
532,01:43.9,Yuriy Borzakovskiy,RUS,12/04/1981,2,Sevilla,06/07/2003,Men,800 m
532,01:43.9,Gary Reed,CAN,25/10/1981,1,Rieti,27/08/2006,Men,800 m
532,01:43.9,Kevin López,ESP,12/06/1990,3,Monaco,19/07/2013,Men,800 m
532,01:43.9,Abdulrahman Musaeb Bala,QAT,19/03/1989,1,Rieti,09/08/2013,Men,800 m
532,01:43.9,Ayanleh Souleiman,DJI,03/12/1992,2,Zürich,28/08/2014,Men,800 m
545,01:43.9,William Tanui,KEN,22/02/1964,1,Birmingham,08/03/1990,Men,800 m
545,01:43.9,Yuriy Borzakovskiy,RUS,12/04/1981,1,Saint-Denis,07/04/2003,Men,800 m
545,01:43.9,Hezekiél Sepeng,RSA,30/06/1974,2,Roma,07/02/2004,Men,800 m
545,01:43.9,Amine Laâlou,MAR,13/05/1982,3,Monaco,25/07/2007,Men,800 m
545,01:43.9,Timothy Kitum,KEN,20/11/1994,2,Nairobi,23/06/2012,Men,800 m
545,01:43.9,Adam Kszczot,POL,02/09/1989,4,Roma,06/04/2015,Men,800 m
551,01:44.0,Philippe Collard,FRA,26/02/1960,1,Nice,13/07/1987,Men,800 m
551,01:44.0,Wilson Kipketer,KEN,12/12/1970,1,Berlin,30/08/1994,Men,800 m
551,01:44.0,Giuseppe D'Urso,ITA,15/09/1969,1,Roma,06/05/1996,Men,800 m
